,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
203,Junior Hoilett\Junior-Hoilett,ca CAN,FWMF,Cardiff City,28,1990,32,23,2143,3,1,0,0,4,0,0.13,0.04,0.17,0.13,0.17,3.5,3.5,1.2,0.15,0.05,0.20,0.15,0.20,Matches
204,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,22,1995,10,9,807,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
205,José Holebas\Jose-Holebas,gr GRE,DF,Watford,34,1984,28,27,2393,3,6,0,0,12,1,0.11,0.23,0.34,0.11,0.34,1.2,1.2,3.6,0.04,0.14,0.18,0.04,0.18,Matches
206,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,21,1996,5,4,407,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
207,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,17,2000,10,4,391,0,1,0,0,0,0,0.00,0.23,0.23,0.00,0.23,0.6,0.6,0.8,0.14,0.20,0.34,0.14,0.34,Matches
208,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,23,1995,32,31,2436,2,4,0,0,5,0,0.07,0.15,0.22,0.07,0.22,2.6,2.6,3.3,0.10,0.12,0.22,0.10,0.22,Matches
209,Emerson Hyndman\Emerson-Hyndman,us USA,MF,Bournemouth,22,1996,1,0,37,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
210,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,22,1995,31,31,2762,4,3,0,0,8,2,0.13,0.10,0.23,0.13,0.23,2.6,2.6,2.4,0.08,0.08,0.16,0.08,0.16,Matches
211,Jordon Ibe\Jordon-Ibe,eng ENG,MFFW,Bournemouth,22,1995,19,9,794,1,1,0,0,1,0,0.11,0.11,0.23,0.11,0.23,0.6,0.6,0.6,0.07,0.07,0.14,0.07,0.14,Matches
212,Vicente Iborra\Vicente-Iborra,es ESP,MF,Leicester City,30,1988,8,3,226,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.05,0.03,0.08,0.05,0.08,Matches
213,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FWMF,Leicester City,21,1996,30,9,926,1,3,0,0,2,0,0.10,0.29,0.39,0.10,0.39,2.7,2.7,1.7,0.26,0.17,0.43,0.26,0.43,Matches
214,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,26,1992,24,23,1666,7,3,3,3,1,0,0.38,0.16,0.54,0.22,0.38,8.8,6.6,2.6,0.48,0.14,0.62,0.35,0.49,Matches
215,Alex Iwobi\Alex-Iwobi,ng NGA,FWMF,Arsenal,22,1996,35,22,1972,3,6,0,0,0,0,0.14,0.27,0.41,0.14,0.41,3.0,3.0,5.3,0.14,0.24,0.38,0.14,0.38,Matches
216,José Izquierdo\Jose-Izquierdo,co COL,MFFW,Brighton,26,1992,15,9,794,1,1,0,0,1,0,0.11,0.11,0.23,0.11,0.23,0.8,0.8,0.4,0.09,0.05,0.13,0.09,0.13,Matches
217,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Everton,35,1982,7,4,328,1,0,0,0,0,1,0.27,0.00,0.27,0.27,0.27,0.5,0.5,0.2,0.14,0.04,0.19,0.14,0.19,Matches
218,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,24,1993,19,12,1021,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.3,0.08,0.02,0.10,0.08,0.10,Matches
219,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,29,1989,18,17,1522,0,2,0,0,3,0,0.00,0.12,0.12,0.00,0.12,0.4,0.4,0.7,0.02,0.04,0.07,0.02,0.07,Matches
220,Vincent Janssen\Vincent-Janssen,nl NED,FW,Tottenham,24,1994,3,0,36,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.63,0.00,0.63,0.63,0.63,Matches
221,Carl Jenkinson\Carl-Jenkinson,eng ENG,DF,Arsenal,26,1992,3,2,165,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
222,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,21,1997,29,8,1019,7,3,1,1,1,0,0.62,0.26,0.88,0.53,0.79,9.6,8.8,1.7,0.85,0.15,1.00,0.78,0.93,Matches
223,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,27,1991,38,36,3124,13,7,2,2,4,0,0.37,0.20,0.58,0.32,0.52,13.8,12.3,7.1,0.40,0.20,0.60,0.35,0.56,Matches
224,Stefan Johansen\Stefan-Johansen,no NOR,MF,Fulham,27,1991,12,4,411,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.02,0.02,0.01,0.02,Matches
225,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,18,2000,1,1,63,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
226,Tyreke Johnson\Tyreke-Johnson,eng ENG,FW,Southampton,19,1998,1,0,,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,,,,,,Matches
227,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,26,1992,18,15,1261,0,1,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.6,0.03,0.04,0.07,0.03,0.07,Matches
228,Jorginho\Jorginho,it ITA,MF,Chelsea,26,1991,37,37,3165,2,0,1,1,8,0,0.06,0.00,0.06,0.03,0.03,1.5,0.7,3.0,0.04,0.08,0.13,0.02,0.11,Matches
229,Joselu\Joselu,es ESP,FW,Newcastle Utd,28,1990,16,5,587,2,0,0,0,1,0,0.31,0.00,0.31,0.31,0.31,1.6,1.6,0.0,0.24,0.00,0.25,0.24,0.25,Matches
230,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,21,1996,33,29,2369,9,5,0,0,11,0,0.34,0.19,0.53,0.34,0.53,8.2,8.2,3.8,0.31,0.14,0.46,0.31,0.46,Matches
231,Mathias Jørgensen\Mathias-Jorgensen,dk DEN,DF,Huddersfield,28,1990,24,24,2148,3,1,0,0,6,0,0.13,0.04,0.17,0.13,0.17,1.2,1.2,0.3,0.05,0.01,0.06,0.05,0.06,Matches
232,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,27,1991,21,19,1586,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.1,0.08,0.00,0.08,0.08,0.08,Matches
233,Elias Kachunga\Elias-Kachunga,cd COD,FWMF,Huddersfield,26,1992,20,13,1181,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,0.09,0.01,0.10,0.09,0.10,Matches
234,Aboubakar Kamara\Aboubakar-Kamara,fr FRA,FWMF,Fulham,23,1995,13,5,690,3,0,1,2,2,0,0.39,0.00,0.39,0.26,0.26,3.7,2.2,0.8,0.48,0.11,0.59,0.28,0.39,Matches
235,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,25,1993,28,27,2427,17,4,4,4,5,0,0.63,0.15,0.78,0.48,0.63,13.9,10.8,4.0,0.52,0.15,0.66,0.40,0.55,Matches
236,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,27,1991,36,36,3095,4,4,0,0,3,0,0.12,0.12,0.23,0.12,0.23,2.6,2.6,3.5,0.08,0.10,0.18,0.08,0.18,Matches
237,Beram Kayal\Beram-Kayal,il ISR,MF,Brighton,30,1988,18,9,933,0,1,0,0,4,0,0.00,0.10,0.10,0.00,0.10,0.4,0.4,1.0,0.04,0.10,0.13,0.04,0.13,Matches
238,Michael Keane\Michael-Keane,eng ENG,DF,Everton,25,1993,33,33,2970,1,2,0,0,2,0,0.03,0.06,0.09,0.03,0.09,2.0,2.0,0.7,0.06,0.02,0.08,0.06,0.08,Matches
239,Neeskens Kebano\Neeskens-Kebano,cd COD,FWMF,Fulham,26,1992,7,0,101,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.06,0.00,0.06,0.06,0.06,Matches
240,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,23,1995,25,16,1392,2,1,0,0,0,0,0.13,0.06,0.19,0.13,0.19,2.1,2.1,1.1,0.13,0.07,0.20,0.13,0.20,Matches
241,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,28,1990,13,12,1110,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.04,0.00,0.05,0.04,0.05,Matches
242,Kenedy\Kenedy,br BRA,MFFW,Newcastle Utd,22,1996,25,14,1344,1,1,0,1,1,0,0.07,0.07,0.13,0.07,0.13,2.3,1.5,0.8,0.15,0.05,0.21,0.10,0.16,Matches
243,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Everton,21,1997,10,8,790,0,1,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,0.3,0.01,0.04,0.05,0.01,0.05,Matches
244,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,21,1997,1,0,,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,,,,,,Matches
245,Joshua King\Joshua-King,no NOR,FW,Bournemouth,26,1992,35,34,2974,12,3,5,6,3,0,0.36,0.09,0.45,0.21,0.30,12.7,8.1,4.2,0.38,0.13,0.51,0.24,0.37,Matches
246,Anthony Knockaert\Anthony-Knockaert,fr FRA,FWMF,Brighton,26,1991,30,18,1833,2,6,0,0,4,1,0.10,0.29,0.39,0.10,0.39,2.6,2.6,4.3,0.13,0.21,0.34,0.13,0.34,Matches
247,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,25,1993,24,22,1890,0,5,0,0,5,0,0.00,0.24,0.24,0.00,0.24,0.4,0.4,5.6,0.02,0.27,0.29,0.02,0.29,Matches
248,Vincent Kompany\Vincent-Kompany,be BEL,DF,Manchester City,32,1986,17,13,1223,1,0,0,0,6,0,0.07,0.00,0.07,0.07,0.07,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
249,Terence Kongolo\Terence-Kongolo,nl NED,DF,Huddersfield,24,1994,32,32,2722,1,1,0,0,4,0,0.03,0.03,0.07,0.03,0.07,1.1,1.1,1.0,0.04,0.03,0.07,0.04,0.07,Matches
250,Laurent Koscielny\Laurent-Koscielny,fr FRA,DF,Arsenal,32,1985,17,13,1330,3,0,0,0,1,0,0.20,0.00,0.20,0.20,0.20,2.0,2.0,0.1,0.13,0.01,0.14,0.13,0.14,Matches
251,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MF,Crystal Palace,28,1989,31,21,1897,0,2,0,0,3,0,0.00,0.09,0.09,0.00,0.09,1.3,1.3,1.0,0.06,0.05,0.11,0.06,0.11,Matches
252,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,24,1994,32,21,1744,0,2,0,0,3,0,0.00,0.10,0.10,0.00,0.10,1.7,1.7,2.3,0.09,0.12,0.21,0.09,0.21,Matches
253,Rajiv van La Parra\Rajiv-van-La-Parra,nl NED,MFFW,Huddersfield,27,1991,5,5,407,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.07,0.03,0.09,0.07,0.09,Matches
254,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,27,1991,35,27,2505,13,8,0,0,2,0,0.47,0.29,0.75,0.47,0.75,12.0,12.0,2.7,0.43,0.10,0.53,0.43,0.53,Matches
255,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,30,1988,13,5,465,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.07,0.10,0.17,0.07,0.17,Matches
256,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,26,1992,19,9,972,4,2,0,0,2,0,0.37,0.19,0.56,0.37,0.56,3.4,3.4,2.6,0.31,0.24,0.55,0.31,0.55,Matches
257,Manuel Lanzini\Manuel-Lanzini,ar ARG,MF,West Ham,25,1993,10,8,689,1,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,1.5,1.5,0.9,0.20,0.12,0.32,0.20,0.32,Matches
258,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,24,1994,35,34,3057,3,3,0,0,3,0,0.09,0.09,0.18,0.09,0.18,2.4,2.4,1.2,0.07,0.04,0.10,0.07,0.10,Matches
259,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,24,1993,32,32,2745,0,1,0,0,4,0,0.00,0.03,0.03,0.00,0.03,0.6,0.6,0.3,0.02,0.01,0.03,0.02,0.03,Matches
260,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,28,1989,26,25,2252,0,1,0,0,5,0,0.00,0.04,0.04,0.00,0.04,0.2,0.2,0.5,0.01,0.02,0.03,0.01,0.03,Matches
261,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,27,1991,12,12,1055,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.04,0.02,0.06,0.04,0.06,Matches
262,Mario Lemina\Mario-Lemina,ga GAB,MF,Southampton,24,1993,21,18,1615,1,1,0,0,5,0,0.06,0.06,0.11,0.06,0.11,1.2,1.2,0.4,0.07,0.02,0.09,0.07,0.09,Matches
263,Aaron Lennon\Aaron-Lennon,eng ENG,FWMF,Burnley,31,1987,16,14,1216,1,1,0,0,1,0,0.07,0.07,0.15,0.07,0.15,0.5,0.5,0.6,0.04,0.05,0.08,0.04,0.08,Matches
264,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,26,1992,32,31,2835,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
265,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,23,1994,30,29,2510,2,0,0,0,12,0,0.07,0.00,0.07,0.07,0.07,1.1,1.1,0.9,0.04,0.03,0.07,0.04,0.07,Matches
266,Stephan Lichtsteiner\Stephan-Lichtsteiner,ch SUI,DF,Arsenal,34,1984,14,10,940,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01,Matches
267,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,24,1994,30,29,2602,1,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,0.6,0.6,1.0,0.02,0.04,0.06,0.02,0.06,Matches
268,Jesse Lingard\Jesse-Lingard,eng ENG,FWMF,Manchester Utd,25,1992,27,19,1669,4,2,1,1,3,0,0.22,0.11,0.32,0.16,0.27,5.0,4.2,2.1,0.27,0.11,0.38,0.23,0.34,Matches
269,Fernando Llorente\Fernando-Llorente,es ESP,FW,Tottenham,33,1985,20,6,683,1,4,0,0,2,0,0.13,0.53,0.66,0.13,0.66,2.8,2.8,1.3,0.37,0.17,0.55,0.37,0.55,Matches
270,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,31,1986,33,33,2970,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
271,Jürgen Locadia\Jurgen-Locadia,nl NED,FWMF,Brighton,24,1993,26,12,1227,2,0,0,0,1,0,0.15,0.00,0.15,0.15,0.15,3.1,3.1,1.1,0.22,0.08,0.30,0.22,0.30,Matches
272,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,22,1996,24,6,983,6,2,0,0,0,0,0.55,0.18,0.73,0.55,0.73,2.7,2.7,1.4,0.25,0.13,0.38,0.25,0.38,Matches
273,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,27,1990,6,5,513,0,1,0,0,0,0,0.00,0.18,0.18,0.00,0.18,0.1,0.1,0.0,0.01,0.00,0.01,0.01,0.01,Matches
274,Shane Long\Shane-Long,ie IRL,FWMF,Southampton,31,1987,26,12,1270,5,1,0,0,3,0,0.35,0.07,0.43,0.35,0.43,4.7,4.7,1.1,0.34,0.08,0.41,0.34,0.41,Matches
275,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,20,1997,9,8,687,1,0,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.4,0.4,0.5,0.05,0.07,0.12,0.05,0.12,Matches
276,Ademola Lookman\Ademola-Lookman,eng ENG,FWMF,Everton,20,1997,21,3,601,0,2,0,0,0,0,0.00,0.30,0.30,0.00,0.30,1.4,1.4,1.2,0.22,0.18,0.40,0.22,0.40,Matches
277,Jonas Lössl\Jonas-Lossl,dk DEN,GK,Huddersfield,29,1989,31,30,2777,0,1,0,0,1,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.4,0.00,0.01,0.01,0.00,0.01,Matches
278,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,29,1989,13,11,985,1,0,0,0,1,0,0.09,0.00,0.09,0.09,0.09,0.7,0.7,0.3,0.07,0.02,0.09,0.07,0.09,Matches
279,Chris Löwe\Chris-Lowe,de GER,DFMF,Huddersfield,29,1989,29,23,2057,0,2,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.5,0.5,1.5,0.02,0.07,0.09,0.02,0.09,Matches
280,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,29,1989,21,19,1748,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,0.02,0.04,0.06,0.02,0.06,Matches
281,David Luiz\David-Luiz,br BRA,DF,Chelsea,31,1987,36,36,3239,3,2,0,0,3,0,0.08,0.06,0.14,0.08,0.14,1.9,1.9,2.6,0.05,0.07,0.12,0.05,0.12,Matches
282,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Manchester Utd,25,1993,32,22,2130,12,0,0,0,4,0,0.51,0.00,0.51,0.51,0.51,11.6,11.6,3.0,0.49,0.13,0.62,0.49,0.62,Matches
283,James Maddison\James-Maddison,eng ENG,MFFW,Leicester City,21,1996,36,35,2848,7,7,1,2,4,1,0.22,0.22,0.44,0.19,0.41,7.4,5.8,7.2,0.23,0.23,0.46,0.18,0.41,Matches
284,Gary Madine\Gary-Madine,eng ENG,FWMF,Cardiff City,27,1990,5,0,32,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
285,Harry Maguire\Harry-Maguire,eng ENG,DF,Leicester City,25,1993,31,31,2598,3,0,0,0,6,1,0.10,0.00,0.10,0.10,0.10,1.6,1.6,0.3,0.06,0.01,0.07,0.06,0.07,Matches
286,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,Manchester City,27,1991,27,14,1339,7,4,0,1,0,0,0.47,0.27,0.74,0.47,0.74,5.6,4.8,4.3,0.38,0.29,0.66,0.33,0.61,Matches
287,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,20,1997,16,11,985,1,1,0,0,2,1,0.09,0.09,0.18,0.09,0.18,0.9,0.9,1.1,0.08,0.10,0.18,0.08,0.18,Matches
288,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,26,1992,36,35,3086,22,1,0,0,2,0,0.64,0.03,0.67,0.64,0.67,16.0,16.0,4.6,0.47,0.13,0.60,0.47,0.60,Matches
289,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,24,1994,18,12,1097,0,3,0,0,2,0,0.00,0.25,0.25,0.00,0.25,0.1,0.1,0.9,0.00,0.08,0.08,0.00,0.08,Matches
290,Solly March\Solly-March,eng ENG,FWMF,Brighton,24,1994,35,30,2473,1,5,0,0,1,0,0.04,0.18,0.22,0.04,0.22,2.7,2.7,4.0,0.10,0.15,0.24,0.10,0.24,Matches
291,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,31,1986,26,20,1921,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.7,0.04,0.03,0.07,0.04,0.07,Matches
292,Lazar Marković\Lazar-Markovic,rs SRB,FW,Fulham,24,1994,1,0,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.06,0.06,0.00,0.06,Matches
293,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,22,1995,27,18,1624,10,2,1,1,2,0,0.55,0.11,0.67,0.50,0.61,5.8,5.0,2.6,0.32,0.14,0.46,0.28,0.42,Matches
294,Adam Masina\Adam-Masina,it ITA,DF,Watford,24,1994,14,11,1003,0,1,0,0,5,0,0.00,0.09,0.09,0.00,0.09,0.1,0.1,0.4,0.00,0.03,0.04,0.00,0.04,Matches
295,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,24,1993,23,19,1755,0,1,0,0,2,0,0.00,0.05,0.05,0.00,0.05,0.1,0.1,1.5,0.00,0.08,0.08,0.00,0.08,Matches
296,Juan Mata\Juan-Mata,es ESP,FWMF,Manchester Utd,30,1988,22,16,1293,3,2,0,0,3,0,0.21,0.14,0.35,0.21,0.35,1.5,1.5,2.8,0.11,0.20,0.30,0.11,0.30,Matches
297,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,29,1988,28,28,2440,1,0,0,0,7,1,0.04,0.00,0.04,0.04,0.04,1.6,1.6,0.9,0.06,0.03,0.09,0.06,0.09,Matches
298,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,26,1991,22,17,1532,1,0,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,0.1,0.04,0.01,0.04,0.04,0.04,Matches
299,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Arsenal,20,1997,4,3,149,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.03,0.17,0.20,0.03,0.20,Matches
300,Alfie Mawson\Alfie-Mawson,eng ENG,DF,Fulham,24,1994,15,13,1130,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.01,0.00,0.01,0.01,0.01,Matches
301,Isaac Mbenza\Isaac-Mbenza,be BEL,FWMF,Huddersfield,22,1996,22,10,982,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,1.1,1.1,0.8,0.10,0.08,0.17,0.10,0.17,Matches
302,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,30,1987,38,36,3072,3,6,0,0,7,0,0.09,0.18,0.26,0.09,0.26,5.6,5.6,3.6,0.16,0.10,0.27,0.16,0.27,Matches
303,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,28,1989,25,25,2250,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
304,James McCarthy\James-McCarthy,ie IRL,MF,Everton,27,1990,1,0,14,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
