,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38,38,3420,22,0.58,96,74,.771,30,7,1,21,55.3,1,0,0,1,Matches
2,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,36,3240,39,1.08,117,78,.675,20,8,8,14,38.9,2,1,1,0,Matches
3,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,31,1987,24,24,2160,47,1.96,101,58,.554,8,3,13,5,20.8,2,2,0,0,Matches
4,Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,26,1992,7,7,630,20,2.86,38,19,.500,1,2,4,0,0.0,3,1,1,1,Matches
5,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,38,1980,12,12,1080,18,1.50,52,36,.712,4,3,5,4,33.3,3,3,0,0,Matches
6,David Button\David-Button,eng ENG,GK,Brighton,29,1989,4,4,360,5,1.25,15,12,.800,1,1,2,1,25.0,2,2,0,0,Matches
7,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,36,1981,2,2,180,0,0.00,3,3,1.000,1,1,0,2,100.0,0,0,0,0,Matches
8,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,36,1982,7,7,585,9,1.38,36,27,.750,5,0,2,2,28.6,0,0,0,0,Matches
9,Joel Coleman\Joel-Coleman,eng ENG,GK,Huddersfield,22,1995,1,1,90,1,1.00,3,1,.667,0,1,0,0,0.0,0,0,0,0,Matches
10,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,29,1989,38,38,3420,48,1.26,135,94,.689,12,9,17,11,28.9,6,6,0,0,Matches
11,Ederson\Ederson,br BRA,GK,Manchester City,24,1993,38,38,3420,23,0.61,76,57,.750,32,2,4,20,52.6,4,4,0,0,Matches
12,Neil Etheridge\Neil-Etheridge,ph PHI,GK,Cardiff City,28,1990,38,38,3420,69,1.82,201,135,.677,10,4,24,10,26.3,7,4,3,0,Matches
13,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,33,1985,38,38,3420,55,1.45,191,139,.733,15,7,16,7,18.4,5,4,1,0,Matches
14,Fabricio\Fabricio,es ESP,GK,Fulham,30,1987,2,2,180,5,2.50,23,18,.783,0,0,2,0,0.0,0,0,0,0,Matches
15,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,30,1988,1,1,90,3,3.00,6,3,.500,0,0,1,0,0.0,0,0,0,0,Matches
16,Ben Foster\Ben-Foster,eng ENG,GK,Watford,35,1983,38,38,3420,59,1.55,173,118,.682,14,8,16,7,18.4,5,4,1,0,Matches
17,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,26,1992,3,3,270,2,0.67,13,11,.846,2,0,1,1,33.3,0,0,0,0,Matches
18,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,27,1990,38,38,3420,54,1.42,169,124,.716,19,9,10,7,18.4,6,6,0,0,Matches
19,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,31,1987,20,20,1755,23,1.18,82,60,.732,10,4,6,7,35.0,1,1,0,0,Matches
20,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,22,1996,12,12,1080,18,1.50,48,30,.625,4,4,4,3,25.0,1,0,1,0,Matches
21,Ben Hamer\Ben-Hamer,eng ENG,GK,Huddersfield,30,1987,7,7,553,21,3.42,37,20,.514,0,1,6,1,14.3,3,3,0,0,Matches
22,Joe Hart\Joe-Hart,eng ENG,GK,Burnley,31,1987,19,19,1710,41,2.16,117,78,.658,3,3,13,4,21.1,2,1,1,0,Matches
23,Tom Heaton\Tom-Heaton,eng ENG,GK,Burnley,32,1986,19,19,1710,27,1.42,82,59,.683,8,4,7,4,21.1,1,1,0,0,Matches
24,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,31,1987,18,17,1575,26,1.49,65,42,.646,4,3,10,5,29.4,4,3,1,0,Matches
25,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,26,1992,32,31,2835,42,1.33,139,105,.748,16,7,8,7,22.6,7,7,0,0,Matches
26,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,31,1986,33,33,2970,33,1.00,122,94,.754,21,2,10,12,36.4,5,3,2,0,Matches
27,Jonas Lössl\Jonas-Lossl,dk DEN,GK,Huddersfield,29,1989,31,30,2777,54,1.75,137,87,.635,3,5,22,5,16.7,5,4,1,0,Matches
28,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,28,1989,25,25,2250,44,1.76,116,77,.638,5,8,12,4,16.0,2,2,0,0,Matches
29,Will Norris\Will-Norris,eng ENG,GK,Wolves,24,1993,1,0,,0,,0,0,,0,0,0,1,,0,0,0,0,Matches
30,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,30,1988,37,37,3330,46,1.24,138,98,.688,15,9,13,8,21.6,4,3,0,1,Matches
31,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,24,1994,38,38,3420,46,1.21,128,86,.656,15,9,14,14,36.8,5,2,3,0,Matches
32,Sergio Rico\Sergio-Rico,es ESP,GK,Fulham,24,1993,29,29,2610,56,1.93,161,110,.677,6,3,20,5,17.2,4,4,0,0,Matches
33,John Ruddy\John-Ruddy,eng ENG,GK,Wolves,31,1986,1,1,90,0,0.00,3,3,1.000,1,0,0,1,100.0,0,0,0,0,Matches
34,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,26,1992,34,34,3060,55,1.62,140,93,.664,8,8,18,6,17.6,8,8,0,0,Matches
35,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,31,1986,38,38,3420,48,1.26,139,96,.691,15,7,16,10,26.3,5,5,0,0,Matches
36,Julián Speroni\Julian-Speroni,ar ARG,GK,Crystal Palace,39,1979,1,1,90,4,4.00,9,5,.556,0,0,1,0,0.0,0,0,0,0,Matches
37,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,19,1999,2,2,180,5,2.50,13,9,.615,1,0,1,1,50.0,0,0,0,0,Matches
38,Michel Vorm\Michel-Vorm,nl NED,GK,Tottenham,34,1983,2,2,180,4,2.00,13,9,.692,0,0,2,0,0.0,0,0,0,0,Matches